date,open,high,low,close,volume
2021-09-10,154.3,155.45,148.68,148.96,17109
2021-09-13,150.02,151.38,148.72,149.73,27041
2021-09-14,149.68,151.04,146.91,148.15,27566
2021-09-15,148.14,149.34,146.34,148.73,23293
2021-09-16,148.72,149.05,147.19,148.67,19578
2021-09-17,148.69,149.08,145.73,145.87,21517
2021-09-20,144.31,144.8,141.25,142.87,19257
2021-09-21,142.88,144.79,142.62,143.19,18057
2021-09-22,143.19,146.38,143.05,145.85,15004
2021-09-23,145.85,147.56,145.6,146.71,13481
2021-09-24,146.69,147.44,145.47,146.94,11646
2021-09-27,147.1,147.17,143.79,145.21,22170
2021-09-28,145.2,145.33,141.66,141.99,30285
2021-09-29,141.96,144.41,141.88,142.91,26687
2021-09-30,142.92,144.36,141.26,141.54,25262
2021-10-01,141.57,142.49,139.08,142.42,27421
2021-10-04,141.55,142.19,138.24,139.17,18246
2021-10-05,139.17,142.19,139.13,140.97,15452
2021-10-06,140.97,142.1,138.35,142.01,18984
2021-10-07,142.01,144.18,141.98,143.2,12797
2021-10-08,143.19,144.3,142.51,142.84,14570
2021-10-11,142.08,144.77,141.62,142.48,20503
2021-10-12,142.5,143.42,139.28,139.86,26416
2021-10-13,139.87,141.4,139.16,140.87,28838
2021-10-14,140.88,143.93,140.78,143.77,19492
2021-10-15,143.75,144.84,143.49,144.83,18064
2021-10-18,144.21,146.74,143.16,146.63,18739
2021-10-19,146.57,149.13,146.52,148.76,20860
2021-10-20,148.77,149.72,148.08,149.03,19264
2021-10-21,149.02,149.97,147.87,149.26,18904
2021-10-22,149.25,150.15,148.52,148.53,20547
2021-10-25,148.68,149.35,147.6,148.54,18734
2021-10-26,148.5,150.82,148.38,149.22,21283
2021-10-27,149.22,149.69,148.47,148.92,20417
2021-10-28,148.97,153.12,144.38,146.8,27977
2021-10-29,147.2,152.43,146.4,149.81,40951
2021-11-01,149.77,149.82,147.78,148.62,10866
2021-11-02,148.64,151.53,148.25,149.89,11266
2021-11-03,149.89,151.94,149.79,151.41,12340
2021-11-04,151.41,152.38,150.81,150.98,11935
2021-11-05,150.99,152.02,150.03,151.04,12932
2021-11-08,151.18,151.63,150.13,150.34,17685
2021-11-09,150.34,151.4,149.65,150.43,23323
2021-11-10,150.43,150.84,147.83,147.94,24608
2021-11-11,147.95,149.04,147.65,147.85,17501
2021-11-12,147.82,150.35,147.44,149.97,17520
2021-11-15,150.02,151.86,149.41,149.93,18634
2021-11-16,149.93,151.44,149.3,150.9,17742
2021-11-17,150.9,154.96,150.73,153.51,20128
2021-11-18,153.54,158.46,153.02,158.03,25994
2021-11-19,158.04,160.98,156.51,160.65,30334
2021-11-22,161.16,165.66,160.79,161.13,18942
2021-11-23,160.98,161.78,159.02,161.31,21334
2021-11-24,161.29,161.94,159.62,161.75,17619
2021-11-26,159.89,160.39,156.87,157.18,12491
2021-11-29,158.74,161.15,156.97,160.35,24700
2021-11-30,160.35,166.29,158.48,165.79,36333
2021-12-01,165.83,170.25,164.18,164.5,42888
2021-12-02,164.5,166.04,157.84,163.84,47761
2021-12-03,163.81,165.38,159.71,161.29,37601
2021-12-06,164.14,167.83,161.83,165.18,25289
2021-12-07,165.18,173.57,164.79,172.68,20296
2021-12-08,172.59,175.91,170.69,175.13,22755
2021-12-09,175.13,176.71,173.58,174.16,21698
2021-12-10,174.16,179.64,174.08,179.48,22137
2021-12-13,181.16,182.18,175.36,175.77,39912
2021-12-14,175.7,177.7,172.18,174.18,41908
2021-12-15,174.22,179.72,172.28,179.52,36076
2021-12-16,179.58,181.12,170.74,172.3,42149
2021-12-17,172.35,173.43,169.11,171.4,42138
2021-12-20,167.34,170.53,167.34,170.2,36195
2021-12-21,170.19,173.05,169.09,172.87,31292
2021-12-22,172.86,175.94,171.8,175.76,27820
2021-12-23,175.72,176.6,175.25,175.99,23236
2021-12-27,175.89,180.49,175.82,180.25,22468
2021-12-28,180.23,181.29,178.5,179.52,30285
2021-12-29,179.54,180.58,178.11,179.22,23256
2021-12-30,179.21,180.52,178.07,178.12,20454
2021-12-31,178.11,179.2,177.1,177.45,29986
2022-01-03,177.78,182.84,177.48,182.06,27725
2022-01-04,182.07,183.34,179.12,179.43,29386
2022-01-05,179.42,180.15,174.41,174.42,34045
2022-01-06,174.44,175.27,171.79,172.18,41392
2022-01-07,172.18,174.09,171.0,171.92,34275
2022-01-10,172.45,172.6,168.14,172.43,37139
2022-01-11,172.43,175.14,170.8,175.09,32585
2022-01-12,175.11,177.12,174.8,175.39,32881
2022-01-13,175.43,176.59,171.93,172.21,32191
2022-01-14,172.18,173.74,170.28,173.23,36644
2022-01-18,169.98,172.5,169.53,170.2,32309
2022-01-19,170.18,171.03,164.98,165.7,35620
2022-01-20,165.72,169.6,162.23,163.37,38826
2022-01-21,163.1,166.27,162.38,162.46,46449
2022-01-24,162.54,162.85,154.66,161.68,51556
2022-01-25,161.69,162.69,156.99,157.55,45516
2022-01-26,157.42,164.33,157.24,160.21,44408
2022-01-27,160.08,165.5,157.48,164.78,50584
2022-01-28,166.94,170.26,158.66,169.98,70705
2022-01-31,171.68,174.51,169.52,174.3,25383
2022-02-01,174.3,175.26,172.27,174.48,26130
2022-02-02,174.48,175.65,173.3,174.73,25694
2022-02-03,174.58,176.18,173.14,173.98,26826
2022-02-04,173.98,174.29,170.0,172.46,27730
